,location_code,location_pop,tests,tests_per_million
0,ARM,2968000,694,233.82749326145554
1,AUS,21515754,1391,64.65030228547882
2,AUS,21515754,30244,1405.667679598865
3,AUT,8205000,10278,1252.6508226691042
4,BHR,738004,13553,18364.39910894792
5,BLR,9685000,16000,1652.0392359318535
6,BEL,10403000,4225,406.13284629433815
7,BRA,201103330,2927,14.554706776859438
8,CAN,33679000,1008,29.929629739600344
9,CAN,33679000,6326,187.83218029038866
10,CAN,33679000,10598,314.67680156774253
11,CAN,33679000,796,23.63490602452567
12,CAN,33679000,11167,331.571602482259
13,CAN,33679000,7299,216.72258677514176
14,CAN,33679000,204,6.057186971109594
15,CAN,33679000,143,4.245969298375843
16,CAN,33679000,941,27.940259508892783
17,CAN,33679000,38482,1142.6111226580363
18,CHN,1330044000,320000,240.59354427372327
19,COL,47790000,2571,53.79786566227244
20,HRV,4284889,1159,270.48541980900785
21,CZE,10476000,6302,601.5654830087819
22,DNK,5484000,7620,1389.4967177242888
23,EST,1291170,1387,1074.2195063392116
24,FIN,5244000,900,171.62471395881008
25,FRA,64768389,11071,170.93215025002397
26,HKG,6898686,5271,764.0585468015214
27,HUN,9982000,1587,158.98617511520737
28,ISL,308910,2278,7374.316143860671
29,IND,1173108018,5900,5.029374882339266
30,IRL,4622917,1784,385.9035323368341
31,ISR,7353985,3872,526.5172556103935
32,ITA,60340328,148657,2463.642557594317
33,JPN,127288000,16484,129.50160266482305
34,KWT,2789132,120000,43024.13797554222
35,KGZ,5776500,1545,267.46299662425344
36,LVA,2217969,1147,517.139779681321
37,LTU,2944459,742,251.9987542703091
38,MYS,28274729,9799,346.563887491194
39,MLT,403000,889,2205.9553349875932
40,NLD,16645000,6000,360.4686091919495
41,NZL,4252277,584,137.33818375425682
42,NOR,5009150,18062,3605.8013834682533
43,PAK,184404791,531,2.879534729658949
44,PSE,3800000,2519,662.8947368421053
45,PAN,3410676,756,221.6569383899262
46,PHL,99900177,1030,10.31029204282591
47,POL,38500000,7899,205.16883116883116
48,ROU,21959278,3708,168.85801072330338
49,RUS,140702000,116061,824.8710039658284
50,SVK,5455000,1595,292.3923006416132
51,SVN,2007000,6712,3344.2949676133535
52,ZAF,49000000,645,13.16326530612245
53,KOR,48422644,286716,5921.1140969501785
54,SWE,9828655,14300,1454.9294893350107
55,CHE,8484100,4000,471.4701618321331
56,TWN,22894384,18812,821.6862266309502
57,THA,67089500,7084,105.59029356307619
58,UKR,45415596,500,11.00943385175436
59,ARE,4975593,125000,25122.633623771075
60,GBR,62348447,50442,809.0337839529508
61,USA,310232863,21105,68.02954334338203
62,USA,310232863,41552,133.93809926577637
63,VNM,89571130,9696,108.24916465830006
